date,store_id,product_id,inventory_level,reorder_point,eoq,stockout_units,is_stockout
2023-01-01,store_1,p01,149,108,113,0,0
2023-01-02,store_1,p01,134,108,113,0,0
2023-01-03,store_1,p01,121,108,113,0,0
2023-01-04,store_1,p01,221,108,113,0,0
2023-01-05,store_1,p01,197,108,113,0,0
2023-01-06,store_1,p01,180,108,113,0,0
2023-01-07,store_1,p01,170,108,113,0,0
2023-01-08,store_1,p01,153,108,113,0,0
2023-01-09,store_1,p01,145,108,113,0,0
2023-01-10,store_1,p01,131,108,113,0,0
2023-01-11,store_1,p01,120,108,113,0,0
2023-01-12,store_1,p01,220,108,113,0,0
2023-01-13,store_1,p01,205,108,113,0,0
2023-01-14,store_1,p01,179,108,113,0,0
2023-01-15,store_1,p01,163,108,113,0,0
2023-01-16,store_1,p01,147,108,113,0,0
2023-01-17,store_1,p01,132,108,113,0,0
2023-01-18,store_1,p01,122,108,113,0,0
2023-01-19,store_1,p01,111,108,113,0,0
2023-01-20,store_1,p01,210,108,113,0,0
2023-01-21,store_1,p01,197,108,113,0,0
2023-01-22,store_1,p01,178,108,113,0,0
2023-01-23,store_1,p01,165,108,113,0,0
2023-01-24,store_1,p01,156,108,113,0,0
2023-01-25,store_1,p01,141,108,113,0,0
2023-01-26,store_1,p01,132,108,113,0,0
2023-01-27,store_1,p01,115,108,113,0,0
2023-01-28,store_1,p01,206,108,113,0,0
2023-01-29,store_1,p01,186,108,113,0,0
2023-01-30,store_1,p01,176,108,113,0,0
2023-01-31,store_1,p01,165,108,113,0,0
2023-02-01,store_1,p01,154,108,113,0,0
2023-02-02,store_1,p01,148,108,113,0,0
2023-02-03,store_1,p01,135,108,113,0,0
2023-02-04,store_1,p01,118,108,113,0,0
2023-02-05,store_1,p01,208,108,113,0,0
2023-02-06,store_1,p01,197,108,113,0,0
2023-02-07,store_1,p01,189,108,113,0,0
2023-02-08,store_1,p01,179,108,113,0,0
2023-02-09,store_1,p01,166,108,113,0,0
2023-02-10,store_1,p01,144,108,113,0,0
2023-02-11,store_1,p01,126,108,113,0,0
2023-02-12,store_1,p01,113,108,113,0,0
2023-02-13,store_1,p01,213,108,113,0,0
2023-02-14,store_1,p01,201,108,113,0,0
2023-02-15,store_1,p01,187,108,113,0,0
2023-02-16,store_1,p01,171,108,113,0,0
2023-02-17,store_1,p01,154,108,113,0,0
2023-02-18,store_1,p01,133,108,113,0,0
2023-02-19,store_1,p01,115,108,113,0,0
2023-02-20,store_1,p01,208,108,113,0,0
2023-02-21,store_1,p01,197,108,113,0,0
2023-02-22,store_1,p01,179,108,113,0,0
2023-02-23,store_1,p01,166,108,113,0,0
2023-02-24,store_1,p01,159,108,113,0,0
2023-02-25,store_1,p01,143,108,113,0,0
2023-02-26,store_1,p01,127,108,113,0,0
2023-02-27,store_1,p01,114,108,113,0,0
2023-02-28,store_1,p01,211,108,113,0,0
2023-03-01,store_1,p01,200,108,113,0,0
2023-03-02,store_1,p01,193,108,113,0,0
2023-03-03,store_1,p01,178,108,113,0,0
2023-03-04,store_1,p01,165,108,113,0,0
2023-03-05,store_1,p01,148,108,113,0,0
2023-03-06,store_1,p01,135,108,113,0,0
2023-03-07,store_1,p01,124,108,113,0,0
2023-03-08,store_1,p01,117,108,113,0,0
2023-03-09,store_1,p01,216,108,113,0,0
2023-03-10,store_1,p01,203,108,113,0,0
2023-03-11,store_1,p01,194,108,113,0,0
2023-03-12,store_1,p01,180,108,113,0,0
2023-03-13,store_1,p01,169,108,113,0,0
2023-03-14,store_1,p01,156,108,113,0,0
2023-03-15,store_1,p01,147,108,113,0,0
2023-03-16,store_1,p01,134,108,113,0,0
2023-03-17,store_1,p01,125,108,113,0,0
2023-03-18,store_1,p01,119,108,113,0,0
2023-03-19,store_1,p01,221,108,113,0,0
2023-03-20,store_1,p01,216,108,113,0,0
2023-03-21,store_1,p01,207,108,113,0,0
2023-03-22,store_1,p01,193,108,113,0,0
2023-03-23,store_1,p01,186,108,113,0,0
2023-03-24,store_1,p01,179,108,113,0,0
2023-03-25,store_1,p01,167,108,113,0,0
2023-03-26,store_1,p01,148,108,113,0,0
2023-03-27,store_1,p01,139,108,113,0,0
2023-03-28,store_1,p01,124,108,113,0,0
2023-03-29,store_1,p01,118,108,113,0,0
2023-03-30,store_1,p01,221,108,113,0,0
2023-03-31,store_1,p01,211,108,113,0,0
2023-04-01,store_1,p01,197,108,113,0,0
2023-04-02,store_1,p01,182,108,113,0,0
2023-04-03,store_1,p01,174,108,113,0,0
2023-04-04,store_1,p01,168,108,113,0,0
2023-04-05,store_1,p01,160,108,113,0,0
2023-04-06,store_1,p01,154,108,113,0,0
2023-04-07,store_1,p01,147,108,113,0,0
2023-04-08,store_1,p01,133,108,113,0,0
2023-04-09,store_1,p01,122,108,113,0,0
2023-04-10,store_1,p01,112,108,113,0,0
2023-04-11,store_1,p01,213,108,113,0,0
2023-04-12,store_1,p01,202,108,113,0,0
2023-04-13,store_1,p01,196,108,113,0,0
2023-04-14,store_1,p01,188,108,113,0,0
2023-04-15,store_1,p01,176,108,113,0,0
2023-04-16,store_1,p01,172,108,113,0,0
2023-04-17,store_1,p01,169,108,113,0,0
2023-04-18,store_1,p01,160,108,113,0,0
2023-04-19,store_1,p01,151,108,113,0,0
2023-04-20,store_1,p01,144,108,113,0,0
2023-04-21,store_1,p01,133,108,113,0,0
2023-04-22,store_1,p01,122,108,113,0,0
2023-04-23,store_1,p01,216,108,113,0,0
2023-04-24,store_1,p01,205,108,113,0,0
2023-04-25,store_1,p01,196,108,113,0,0
2023-04-26,store_1,p01,193,108,113,0,0
2023-04-27,store_1,p01,183,108,113,0,0
2023-04-28,store_1,p01,181,108,113,0,0
2023-04-29,store_1,p01,175,108,113,0,0
2023-04-30,store_1,p01,167,108,113,0,0
2023-05-01,store_1,p01,159,108,113,0,0
2023-05-02,store_1,p01,153,108,113,0,0
2023-05-03,store_1,p01,139,108,113,0,0
2023-05-04,store_1,p01,131,108,113,0,0
2023-05-05,store_1,p01,124,108,113,0,0
2023-05-06,store_1,p01,112,108,113,0,0
2023-05-07,store_1,p01,217,108,113,0,0
2023-05-08,store_1,p01,210,108,113,0,0
2023-05-09,store_1,p01,203,108,113,0,0
2023-05-10,store_1,p01,195,108,113,0,0
2023-05-11,store_1,p01,189,108,113,0,0
2023-05-12,store_1,p01,178,108,113,0,0
2023-05-13,store_1,p01,169,108,113,0,0
2023-05-14,store_1,p01,160,108,113,0,0
2023-05-15,store_1,p01,152,108,113,0,0
2023-05-16,store_1,p01,147,108,113,0,0
2023-05-17,store_1,p01,140,108,113,0,0
2023-05-18,store_1,p01,136,108,113,0,0
2023-05-19,store_1,p01,134,108,113,0,0
2023-05-20,store_1,p01,129,108,113,0,0
2023-05-21,store_1,p01,126,108,113,0,0
2023-05-22,store_1,p01,118,108,113,0,0
2023-05-23,store_1,p01,112,108,113,0,0
2023-05-24,store_1,p01,215,108,113,0,0
