date,store_id,product_id,units_sold,revenue_gbp,is_promo,day_of_week,month,year,week
2023-01-01,store_1,p01,19,1709.81,0,Sunday,1,2023,52
2023-01-02,store_1,p01,15,1349.85,0,Monday,1,2023,1
2023-01-03,store_1,p01,13,1169.87,0,Tuesday,1,2023,1
2023-01-04,store_1,p01,13,1169.87,0,Wednesday,1,2023,1
2023-01-05,store_1,p01,24,2159.76,0,Thursday,1,2023,1
2023-01-06,store_1,p01,17,1529.83,0,Friday,1,2023,1
2023-01-07,store_1,p01,10,899.9,0,Saturday,1,2023,1
2023-01-08,store_1,p01,17,1529.83,0,Sunday,1,2023,1
2023-01-09,store_1,p01,8,719.92,0,Monday,1,2023,2
2023-01-10,store_1,p01,14,1259.86,0,Tuesday,1,2023,2
2023-01-11,store_1,p01,11,989.89,0,Wednesday,1,2023,2
2023-01-12,store_1,p01,13,1169.87,0,Thursday,1,2023,2
2023-01-13,store_1,p01,15,1349.85,0,Friday,1,2023,2
2023-01-14,store_1,p01,26,2339.74,0,Saturday,1,2023,2
2023-01-15,store_1,p01,16,1439.84,0,Sunday,1,2023,2
2023-01-16,store_1,p01,16,1439.84,0,Monday,1,2023,3
2023-01-17,store_1,p01,15,1349.85,0,Tuesday,1,2023,3
2023-01-18,store_1,p01,10,899.9,0,Wednesday,1,2023,3
2023-01-19,store_1,p01,11,989.89,0,Thursday,1,2023,3
2023-01-20,store_1,p01,14,1259.86,0,Friday,1,2023,3
2023-01-21,store_1,p01,13,1169.87,0,Saturday,1,2023,3
2023-01-22,store_1,p01,19,1709.81,0,Sunday,1,2023,3
2023-01-23,store_1,p01,13,1169.87,0,Monday,1,2023,4
2023-01-24,store_1,p01,9,809.91,0,Tuesday,1,2023,4
2023-01-25,store_1,p01,15,1349.85,0,Wednesday,1,2023,4
2023-01-26,store_1,p01,9,809.91,0,Thursday,1,2023,4
2023-01-27,store_1,p01,17,1529.83,0,Friday,1,2023,4
2023-01-28,store_1,p01,22,1979.78,0,Saturday,1,2023,4
2023-01-29,store_1,p01,20,1799.8,0,Sunday,1,2023,4
2023-01-30,store_1,p01,10,899.9,0,Monday,1,2023,5
2023-01-31,store_1,p01,11,989.89,0,Tuesday,1,2023,5
2023-02-01,store_1,p01,11,989.89,0,Wednesday,2,2023,5
2023-02-02,store_1,p01,6,539.94,0,Thursday,2,2023,5
2023-02-03,store_1,p01,13,1169.87,0,Friday,2,2023,5
2023-02-04,store_1,p01,17,1529.83,0,Saturday,2,2023,5
2023-02-05,store_1,p01,23,2069.77,1,Sunday,2,2023,5
2023-02-06,store_1,p01,11,989.89,0,Monday,2,2023,6
2023-02-07,store_1,p01,8,719.92,0,Tuesday,2,2023,6
2023-02-08,store_1,p01,10,899.9,0,Wednesday,2,2023,6
2023-02-09,store_1,p01,13,1169.87,0,Thursday,2,2023,6
2023-02-10,store_1,p01,22,1979.78,1,Friday,2,2023,6
2023-02-11,store_1,p01,18,1619.82,0,Saturday,2,2023,6
2023-02-12,store_1,p01,13,1169.87,0,Sunday,2,2023,6
2023-02-13,store_1,p01,13,1169.87,0,Monday,2,2023,7
2023-02-14,store_1,p01,12,1079.88,0,Tuesday,2,2023,7
2023-02-15,store_1,p01,14,1259.86,0,Wednesday,2,2023,7
