date,forecast,model
2024-12-02,49,Moving Avg (7d)
2024-12-03,49,Moving Avg (7d)
2024-12-04,49,Moving Avg (7d)
2024-12-05,49,Moving Avg (7d)
2024-12-06,49,Moving Avg (7d)
2024-12-07,49,Moving Avg (7d)
2024-12-08,49,Moving Avg (7d)
2024-12-09,49,Moving Avg (7d)
2024-12-10,49,Moving Avg (7d)
2024-12-11,49,Moving Avg (7d)
2024-12-12,49,Moving Avg (7d)
2024-12-13,49,Moving Avg (7d)
2024-12-14,49,Moving Avg (7d)
2024-12-15,49,Moving Avg (7d)
2024-12-16,49,Moving Avg (7d)
2024-12-17,49,Moving Avg (7d)
2024-12-18,49,Moving Avg (7d)
2024-12-19,49,Moving Avg (7d)
2024-12-20,49,Moving Avg (7d)
2024-12-21,49,Moving Avg (7d)
2024-12-22,49,Moving Avg (7d)
2024-12-23,49,Moving Avg (7d)
2024-12-24,49,Moving Avg (7d)
2024-12-25,49,Moving Avg (7d)
2024-12-26,49,Moving Avg (7d)
2024-12-27,49,Moving Avg (7d)
2024-12-28,49,Moving Avg (7d)
2024-12-29,49,Moving Avg (7d)
2024-12-30,49,Moving Avg (7d)
2024-12-31,49,Moving Avg (7d)
